"","folio","ginc_1_2","ginc_3","ginc_4","ginc_5","ginc_6","ginc_7","bin_telefono","bin_celular","bin_tvpaga","bin_conex_inte","bin_agua","bin_electricidad","coche","propiedad","piso_tierra","piso_cemento","piso_otro","bin_sex","share_h","share_ocup","hablaind","inst","prospera","adultom","rururb","tam_grande","tam_med","tam_medpeq","tam_peq","ent","mun","region","no_edu","kinder","primaria","secundaria","preparatoria","licenciatura","postgrado","factor","upm"
"1","0100100010286020830102",0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0.6,0.4,0,"ISSSTE",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,0,0,303,6
"2","0100100010286020850201",0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0.166666666666667,0.833333333333333,0,"ISSSTE",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,808,6
"3","0100100010286025830201",0,0,1,0,0,0,1,1,1,1,1,1,2,1,0,0,1,0,0.5,0,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,0,0,808,6
"4","0100100010286025840101",1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,"ISSSTE",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"5","0100100010286025850101",0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0.5,0,0,"IMSS",0,0,0,1,0,0,0,"01","01001",3,0,0,1,0,0,0,0,303,6
"6","0100100010286039830401",0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0.6,0.6,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,1,0,0,1315,6
"7","0100100010286039840301",0,0,1,0,0,0,1,1,1,1,1,1,2,0,0,0,1,0,1,1,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,1,0,0,1120,6
"8","0100100010286039850402",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.5,0.5,0,"IMSS",0,0,0,1,0,0,0,"01","01001",3,0,0,0,1,0,0,0,397,6
"9","0100100010303009910101",0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0.714285714285714,0.571428571428571,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"10","0100100010303009910102",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0.75,0.5,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,0,1,303,6
"11","0100100010303009910201",0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0.75,0.25,1,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,808,6
"12","0100100010303012890101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.5,0,0,NA,0,0,0,0,1,0,0,"01","01001",3,0,0,1,0,0,0,0,303,6
"13","0100100010303012890201",1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0.142857142857143,0.285714285714286,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,1,0,0,0,1907,6
"14","0100100010303012890202",0,0,0,0,0,1,1,1,1,1,1,1,3,1,0,0,1,0,1,1,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"15","0100100010303012890301",0,0,1,0,0,0,1,1,1,1,1,1,2,0,0,1,0,1,0.333333333333333,0.333333333333333,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,1688,6
"16","0100100010303014900401",0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0.2,0.2,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,1688,6
"17","0100100010303014900501",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0.4,0.4,0,"Otro",0,0,0,0,0,1,0,"01","01001",3,0,0,1,0,0,0,0,303,6
"18","0100100010303014900502",0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0.4,0.2,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,808,6
"19","0100100010356003830301",0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0.4,1,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,1688,6
"20","0100100010356003840201",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,808,6
"21","0100100010356003850101",1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0.5,0.666666666666667,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"22","0100100010356004830201",0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0.75,1,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,1,0,808,6
"23","0100100010356004830401",0,1,0,0,0,0,0,1,0,1,1,1,2,1,0,0,1,1,0.333333333333333,0.666666666666667,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,1,0,0,1315,6
"24","0100100010356004840201",0,0,0,1,0,0,1,1,1,1,1,1,2,1,0,0,1,0,0.6,0.2,0,"ISSSTE",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,1,0,808,6
"25","0100100010356004850101",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"26","0100100010356008830101",0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1,1,0.5,0.5,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,1,0,303,6
"27","0100100010356008840501",1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,1,0,0,0,0,808,6
"28","0100100010356008850401",1,0,0,0,0,0,1,1,0,1,1,1,4,1,0,1,0,1,0.8,0.2,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,1315,6
