"","folio","index","sex","ethnicity","birth_region","father_educ","mother_educ","father_ocup"
"1","0100100010286020830102",2.64632463845357,1,0,6,0,0,"06"
"2","0100100010286020850201",-0.262624112877612,0,0,NA,3,0,"09"
"3","0100100010286025830201",4.37362205585105,0,0,6,0,6,"09"
"4","0100100010286025840101",0.848764209700871,1,0,6,0,0,"07"
"5","0100100010286025850101",-2.93873392086461,1,0,6,6,6,"02"
"6","0100100010286039830401",5.77192516850207,1,0,6,0,8,"09"
"7","0100100010286039840301",4.43602223652318,0,0,6,17,17,"01"
"8","0100100010286039850402",-4.02000654831396,1,0,NA,0,3,"06"
"9","0100100010303009910101",1.72829161918476,1,0,6,0,0,"04"
"10","0100100010303009910102",5.84650374095098,1,0,6,0,0,"08"
"11","0100100010303009910201",2.18008331124818,0,1,6,0,3,"09"
"12","0100100010303012890101",-3.42071009762251,1,0,6,0,0,"06"
"13","0100100010303012890201",1.70247205740814,0,0,4,12,8,"05"
"14","0100100010303012890202",5.48663887850862,0,0,6,16,12,"02"
"15","0100100010303012890301",3.60807887280571,1,0,6,12,9,"02"
"16","0100100010303014900401",0.150818647011925,1,0,6,0,6,"NT"
"17","0100100010303014900501",-1.07602271837881,1,0,6,3,6,"06"
"18","0100100010303014900502",-2.00101815789122,0,0,6,3,2,"04"
"19","0100100010356003830301",0.998422512160849,1,0,6,16,8,"04"
"20","0100100010356003840201",-2.89768364777752,0,0,NA,0,0,"07"
"21","0100100010356003850101",-1.05560367855825,1,0,NA,3,3,"04"
"22","0100100010356004830201",0.602855494663631,0,0,6,6,5,"04"
"23","0100100010356004830401",0.176338241520063,1,0,6,12,9,"NT"
"24","0100100010356004840201",4.95536480289981,0,0,NA,11,6,"04"
"25","0100100010356004850101",-1.96670782997579,1,0,NA,2,2,"06"
"26","0100100010356008830101",6.15237876432738,1,0,6,9,9,"02"
"27","0100100010356008840501",-2.98155673537676,0,0,6,0,0,"NT"
"28","0100100010356008850401",2.76205461065551,1,0,6,6,6,"06"
"29","0100100010426001890101",-0.142288005167501,1,0,6,0,0,"NT"
"30","0100100010426001890301",-0.619462857293041,0,0,6,0,6,"06"
"31","0100100010426001910101",4.10115490980751,1,1,6,0,0,"06"
"32","0100100010426001910201",-1.07602271837881,0,0,3,0,6,"06"
"33","0100100010426004890201",0.858725637752267,0,0,6,1,1,"09"
"34","0100100010426004910401",1.28326525231973,0,0,6,3,0,"07"
"35","0100100010426016890501",1.68329282209145,0,1,6,0,3,"06"
"36","0100100010426016890502",-1.08091636655435,0,0,6,3,2,"07"
"37","0100100010426016900301",1.64084877211311,0,0,6,22,6,"06"
"38","0100100010445009830501",5.30354351231089,1,0,6,0,0,"09"
"39","0100100010445009840201",1.69671740997601,0,0,6,0,0,"NT"
"40","0100100010445009850201",0.74744722660324,0,0,6,6,6,"NT"
"41","0100100010445010830501",-2.1692190525448,1,0,6,0,0,"04"
"42","0100100010445010840201",-1.07602271837881,1,0,6,0,0,"02"
"43","0100100010445010850401",-1.32971822727206,1,0,3,0,0,"04"
"44","0100100010445019830102",-0.188272221479113,1,0,6,0,0,"08"
"45","0100100010445019840101",0.190530596233327,1,0,4,3,6,"04"
"46","0100100010445019850301",-3.55578154027648,1,0,6,9,5,"05"
"47","0100100010676012910101",5.81020682216205,1,0,6,12,9,"NT"
"48","0100100010676012910301",5.36422145939254,1,0,6,16,16,"02"
"49","0100100010676012910501",4.3835168867816,0,0,NA,0,0,"NT"
"50","0100100010676021910101",2.57738273837131,1,0,6,16,9,"06"
"51","0100100010676021910201",5.46960147651191,0,0,6,15,9,"03"
"52","0100100010676021910202",-0.142288005167501,0,0,6,0,0,"04"
"53","0100100010676021910401",4.49716196671786,1,0,6,12,9,"02"
"54","0100100010676024910201",4.34728216640533,0,0,6,16,12,"02"
"55","0100100010676024910501",-0.209499329242306,1,1,6,3,0,"06"
"56","0100100010708007830101",4.86177089691077,1,0,6,6,0,"07"
"57","0100100010708007830301",4.54581775885283,0,0,6,6,6,"04"
"58","0100100010708007830402",1.36004127743171,1,0,6,6,2,"09"
"59","0100100010708017830101",2.47616031619592,1,0,6,0,15,"08"
"60","0100100010708017830201",1.72185379567453,0,1,6,0,0,"NT"
"61","0100100010708017830202",3.27268321622114,0,0,6,3,0,"04"
"62","0100100010708021830101",4.3642467016717,1,0,6,4,4,"02"
"63","0100100010708021830501",0.521584459431433,1,0,6,2,2,"04"
"64","0100100010708021830502",5.12865133039744,1,0,6,8,6,"04"
"65","0100100010712009890201",5.03073049628081,0,0,6,16,16,"02"
"66","0100100010712009890401",1.21915818306418,1,0,6,12,12,"03"
"67","0100100010712009890501",5.24312949551135,1,0,6,12,6,"03"
"68","0100100010712015910101",-0.152249433218898,1,0,6,0,0,"09"
"69","0100100010712015910201",2.36374352418893,0,0,6,0,0,"04"
"70","0100100010712015910202",0.757904838372399,0,0,6,6,6,"01"
"71","0100100010712019910101",6.93281863475608,1,0,3,6,6,"05"
"72","0100100010712019910301",-0.844480600898009,1,0,6,9,9,"03"
"73","0100100010712019910501",2.36293058983718,1,0,6,0,0,"NT"
"74","0100100010784002850101",-1.06556510660965,1,0,6,0,0,"04"
"75","0100100010784002850501",1.44954311510964,1,0,6,17,17,"NT"
"76","0100100010784002850502",-0.505247749651073,1,0,6,0,3,"04"
"77","0100100010784003850101",1.44882297526703,1,0,6,0,4,"NT"
"78","0100100010784003850201",2.89680163437878,0,0,6,3,3,"06"
"79","0100100010784003850401",-4.97760741369397,0,0,6,0,1,"NT"
"80","0100100010784004850203",-0.0984762315066368,0,0,6,0,2,"NT"
"81","0100100010784004850301",-3.50937015561573,1,0,6,0,6,"NT"
"82","0100100010784004850303",-1.84703171516591,0,0,4,0,6,"NT"
"83","0100100010799012890201",3.32012273946191,0,0,6,0,0,"06"
"84","0100100010799012890501",1.59133301163336,1,0,6,0,0,"NT"
"85","0100100010799012910201",2.16289877925551,0,0,6,16,6,"02"
"86","0100100010799017910101",-2.02469227683911,1,0,6,0,0,"02"
"87","0100100010799017910102",3.27120919194278,1,0,6,9,0,"09"
"88","0100100010799017910201",1.22236148973019,0,0,6,6,6,"07"
"89","0100100010799029910301",-0.00323484507410043,1,0,6,0,9,"04"
"90","0100100010799029910302",1.8338939390589,0,0,6,16,12,"04"
"91","0100100010799029910401",1.23795961628296,1,0,6,6,0,"09"
"92","0100100010892001830201",-1.22380457321183,0,0,6,0,0,"08"
"93","0100100010892001840201",-0.645121292307249,0,0,6,0,6,"07"
"94","0100100010892001850201",-2.93054503423828,0,0,6,0,0,"NT"
"95","0100100010892002830301",1.76609995433871,1,0,6,8,8,"99"
"96","0100100010892002830501",2.2328986067361,1,0,6,6,5,"NT"
"97","0100100010892002840401",-5.05777867005615,1,0,6,4,2,"04"
"98","0100100010892002850201",-4.09955253141331,0,0,6,0,6,"06"
"99","0100100010892036830301",1.70990208494812,1,0,6,9,9,"05"
"100","0100100010892036840101",-1.40711344383714,1,0,6,0,0,"09"
"101","0100100010892036850101",3.03028295621538,1,0,6,6,12,"04"
"102","0100100010962007890201",3.32036820749032,0,0,6,0,0,"07"
"103","0100100010962007900501",-2.82442433977974,1,0,6,0,0,"06"
"104","0100100010962010890101",1.64110738312163,1,0,6,0,16,"08"
"105","0100100010962010890401",3.20807058129565,1,0,6,6,6,"07"
"106","0100100010962010900201",6.70766812363714,0,0,6,19,17,"02"
"107","0100100010962020890101",-1.07811572456374,1,0,6,0,0,"06"
"108","0100100010962020890301",2.6803543932738,0,0,6,0,6,"NT"
"109","0100100010962020900201",0.0810069963755851,1,0,6,17,6,"NT"
"110","0100100010962020900301",2.64430341767513,0,0,6,17,12,"02"
"111","0100100010977013830101",4.99615511144187,1,0,3,0,0,"08"
"112","0100100010977013830201",1.81856825312255,0,0,6,3,3,"06"
"113","0100100010977013850501",0.838306597931712,1,0,6,0,0,"NT"
"114","0100100010977025830301",3.98300238627053,1,0,6,12,12,"07"
"115","0100100010977025830401",2.8820607065884,1,0,6,16,12,"02"
"116","0100100010977025850301",-2.75153026086054,1,0,6,0,3,"04"
"117","0100100010977041830201",1.24668047637123,0,0,6,12,0,"99"
"118","0100100010977041830202",3.99398965905054,0,0,6,0,0,"04"
"119","0100100010977041850101",-1.08314288772329,1,0,6,0,6,"04"
"120","0100100011320007900101",-4.89478351775933,1,0,6,0,0,"08"
"121","0100100011320007900201",-1.08015436940423,0,0,6,0,0,"06"
"122","0100100011320007900202",1.84902229440223,0,0,6,6,12,"07"
"123","0100100011320011900401",-5.73090397883381,1,0,3,0,2,"06"
"124","0100100011320011900501",-2.14193039054905,0,0,6,3,2,"07"
"125","0100100011320011900502",-1.18461722600733,0,0,6,0,0,"06"
"126","0100100011320048900101",-2.08116801232399,1,0,6,0,0,"02"
"127","0100100011320048900201",3.34462802054927,0,0,4,0,3,"06"
"128","0100100011320048900301",0.0123927397981607,1,0,6,6,9,"99"
"129","010010001134A021840101",2.5790563904296,1,1,6,16,16,"01"
"130","010010001134A021840102",5.05874409744657,1,0,6,4,9,"05"
"131","010010001134A021840501",5.26553327020295,1,0,6,4,4,"09"
"132","010010001134A029840201",4.41488972208908,0,0,4,6,6,"07"
"133","010010001134A029840202",3.34816136159643,0,0,6,6,6,"09"
"134","010010001134A029840301",4.30824716411899,1,0,6,9,14,"02"
"135","010010001134A033840301",3.72006584544918,0,0,6,19,16,"01"
"136","010010001134A033840401",5.68940765656897,1,0,6,19,16,"02"
"137","010010001134A033840402",2.94664881022611,1,0,6,9,14,"01"
"138","0100100011373001890102",-0.465586336938373,1,0,6,6,6,"NT"
"139","0100100011373001890301",3.80237707223458,1,0,6,1,3,"02"
"140","0100100011373001900101",-2.04583728729441,1,0,4,0,6,"08"
"141","0100100011373003890201",0.713062563013378,0,0,6,0,6,"09"
"142","0100100011373003890202",-1.08282292291071,0,0,6,6,3,"NT"
"143","0100100011373003900401",-1.99941414508215,1,0,6,9,6,"08"
"144","0100100011373036890502",-1.17427499097088,0,0,6,5,0,"06"
"145","0100100011373036890503",2.69226545304742,1,0,4,3,6,"04"
"146","0100100011373036900301",2.16553063651276,0,0,6,12,12,"04"
"147","0100100011392004890201",-2.26743399024544,0,0,6,0,0,"07"
"148","0100100011392004900201",-5.23957758759878,0,0,6,6,0,"04"
"149","0100100011392008830201",3.17622866169381,0,0,6,3,3,"NT"
"150","0100100011392008900101",-1.52978196228513,1,0,6,0,0,"07"
"151","0100100011392008900102",1.68576361448909,1,0,3,0,0,"07"
"152","0100100011392008900401",1.22231958486364,0,0,6,6,6,"06"
"153","0100100011392021890301",2.60467354386371,1,0,6,4,4,"08"
"154","0100100011392021890501",-1.25189811777004,1,0,6,0,0,"04"
"155","0100100011392021890502",2.37467022786456,1,0,6,0,0,"04"
"156","0100100011509024890401",5.57142404391986,1,0,6,16,16,"02"
"157","0100100011509036890201",1.6315456488768,0,0,6,0,0,"07"
"158","0100100011509036890501",4.23351021418944,1,0,6,3,0,"NT"
"159","0100100011509036900101",5.59924612375643,1,0,6,12,12,"02"
"160","0100100011509036900201",5.59895120515167,0,0,6,0,6,"NT"
"161","0100100011509067890101",2.08449415351858,1,0,6,9,6,"06"
"162","0100100011509067890201",6.93895985783879,0,0,6,0,12,"NT"
"163","0100100011509067890301",2.72601498078758,1,0,6,12,9,"01"
"164","0100100011509067890401",-1.60269419558166,0,0,6,4,6,"04"
"165","010010001159A013890101",0.728108162417195,1,0,6,3,3,"06"
"166","010010001159A013890201",2.96427161446223,0,0,6,3,2,"04"
"167","010010001159A013890501",2.63788635178692,0,0,6,6,3,"06"
"168","010010001159A035890201",4.04738651388967,0,0,6,6,0,"06"
"169","010010001159A035890301",-3.44281182612167,1,0,6,12,3,"06"
"170","010010001159A035890401",-0.367978605447794,0,0,6,3,3,"04"
"171","010010001159A044830501",6.76285777739718,1,0,6,12,9,"04"
"172","010010001159A044890101",6.82530316845409,1,0,6,6,3,"06"
"173","010010001159A044890201",3.06644590665264,0,0,6,6,3,"04"
"174","0100100011689020900501",-6.75098958982791,0,0,6,0,0,"06"
"175","0100100011689020910401",-1.5785056573563,0,0,6,9,3,"09"
"176","0100100011689020910501",2.43364875792935,1,0,6,6,0,"08"
"177","0100100011689024900101",0.718698422910551,1,0,6,6,6,"06"
"178","0100100011689024900102",0.309961885588494,1,0,6,6,6,"04"
"179","0100100011689024910201",1.90907378351078,0,0,3,17,9,"06"
"180","0100100011689024910202",6.28893934088892,0,0,6,9,16,"02"
"181","0100100011689038900301",3.47156686092465,1,0,6,9,0,"08"
"182","0100100011689038910301",5.3627248528906,1,0,6,16,16,"01"
"183","0100100011693028830201",4.26389245072556,0,0,6,18,12,"03"
"184","0100100011693028850201",3.48431641067723,0,0,6,0,6,"06"
"185","0100100011693028850401",3.12083572348458,1,0,6,12,12,"NT"
"186","0100100011693051850101",0.557514421387806,1,0,6,0,3,"04"
"187","0100100011693051850201",3.83321398637949,0,0,6,6,6,"NT"
"188","0100100011693051850301",-2.31257246917694,1,0,6,6,6,"04"
"189","0100100011693055830101",-1.37574060852967,1,0,6,0,6,"NT"
"190","0100100011693055830501",1.45446186288455,1,0,6,0,0,"NT"
