,0
0,3.4795249
1,3.4812546
2,3.3169527
3,3.3929749
4,2.1460454
5,2.483963
6,2.8694353
7,2.8694353
8,2.564611
9,1.726649
10,2.017905
11,3.882623
12,2.598251
13,2.4651206
14,1.8520538
15,2.030148
16,2.9975286
17,2.3539922
18,3.048654
19,4.0831013
20,2.915011
21,2.6840124
22,3.5891593
23,3.5891593
24,2.5767925
25,2.8453262
26,2.857278
27,2.857278
28,3.8761525
29,2.3631303
30,2.7702613
31,2.865629
32,3.02752
33,3.0720537
34,2.9287817
35,2.619523
36,2.4436584
37,2.9108436
38,2.225778
39,2.7198708
40,2.4974747
41,2.4974747
42,2.4974747
43,2.4974747
44,2.632226
45,2.9335856
46,3.3036716
47,2.809748
48,2.1058574
49,3.8588235
50,2.3939242
51,3.3916974
52,2.6626494
53,2.8192074
54,3.3726366
55,2.4715164
56,2.4961443
57,2.4961443
58,2.9818406
59,2.9818406
60,2.9818406
61,3.084851
62,3.084851
63,2.9405963
64,2.8869317
65,2.8869317
66,2.85156
67,2.138916
68,3.075325
69,3.037106
70,3.034124
71,3.3213282
72,2.336142
73,1.5964681
74,2.2120488
75,2.3498993
76,2.6551838
77,1.916421
78,2.710402
79,2.710402
80,2.0916317
81,2.8468523
82,2.8638895
83,2.1565444
84,2.2474253
85,3.4846487
86,2.7526417
87,3.4849946
88,3.4849946
89,3.5080616
90,3.472767
91,3.472767
92,3.2520552
93,2.7145724
94,2.7145724
95,3.0507882
96,3.0507882
97,2.9013762
98,3.1354969
99,2.6533518
100,2.8723545
101,2.8321555
102,2.8321555
103,3.3981497
104,2.4256077
105,3.3296356
106,3.4318538
107,2.969613
108,3.4374197
109,3.472767
110,3.472767
111,2.6316795
112,2.362241
113,3.40195
114,3.313164
115,2.1757371
116,2.8694353
117,2.8694353
118,3.0831094
119,1.6057551
120,2.4051204
121,1.7137126
122,2.3709118
123,2.494075
124,3.445225
125,3.6231496
126,3.6231496
127,2.56791
128,2.9973497
129,2.5093052
130,2.6153634
131,2.6153634
132,1.7434773
133,1.5488445
134,2.698251
135,2.832899
136,3.0507882
137,3.0507882
138,2.6217988
139,2.6217988
140,2.9307191
141,2.4197507
142,1.8741629
143,3.0133252
144,2.6423674
145,3.1088617
146,2.8869317
147,2.8869317
148,2.0488782
149,1.284583
150,2.3704827
151,3.340182
152,3.0493336
153,3.7650797
154,3.365731
155,2.340379
156,2.340379
157,2.9838533
158,2.9838533
159,2.2577448
160,3.2966495
161,1.7518675
162,1.6686509
163,2.264119
164,2.264119
165,3.08747
166,3.469466
167,1.7548888
168,2.0770717
169,2.3460917
170,2.4751437
171,2.0762925
172,2.039262
173,3.1065407
174,2.6444256
175,2.6364863
176,2.6104476
177,2.4279752
178,1.4660105
179,1.6352086
180,1.6920282
181,1.9529107
182,3.6046643
183,3.766746
184,2.7857454
185,3.531413
186,2.5887794
187,2.788509
188,2.769874
189,2.4758947
190,3.612065
191,3.4150584
192,2.2274878
193,2.8347294
194,3.718599
195,2.885851
196,3.478722
197,2.8125768
198,2.8125768
199,3.1812289
200,2.371517
201,1.4751021
202,2.637037
203,2.637037
204,2.637037
205,2.5873265
206,3.4265063
207,2.8773956
208,3.4489863
209,2.4974747
210,2.4974747
211,2.4974747
212,2.4974747
213,2.340379
214,2.340379
215,2.6217988
216,2.6217988
217,2.6162577
218,2.6362536
219,2.1125224
220,2.3682387
221,2.3293118
222,2.4974747
223,2.4974747
224,2.4974747
225,2.4974747
226,2.3360064
227,2.437168
228,2.9012086
229,2.637037
230,2.637037
231,2.637037
232,2.3806262
233,2.3806262
234,2.4641366
235,2.3639328
236,3.0925882
237,2.7307792
238,2.432405
239,2.6874382
240,1.783659
241,2.1589055
242,2.4974747
243,2.4974747
244,2.4974747
245,2.4974747
246,1.7897054
247,2.6153634
248,2.6153634
249,3.6231496
250,3.6231496
251,2.9622033
252,1.5126255
253,2.9995587
254,2.4007385
255,2.80122
256,2.4840295
257,2.6663764
258,1.8805765
259,1.2432582
260,3.084851
261,3.084851
262,2.6029637
263,2.252654
264,2.444563
265,2.857278
266,2.857278
267,1.9950497
268,2.9838533
269,2.9838533
270,2.637037
271,2.637037
272,2.637037
273,2.9818406
274,2.9818406
275,2.9818406
276,2.7272177
277,2.712024
278,2.5081635
279,2.5081635
280,2.3462114
281,3.0019624
282,2.9818406
283,2.9818406
284,2.9818406
285,2.4220037
286,3.4239664
287,3.4849946
288,3.4849946
289,2.6226058
290,3.6815329
291,3.2483222
292,2.4961443
293,2.4961443
294,2.4486995
295,1.8148502
296,1.3398436
297,2.7432754
298,3.5325532
299,2.8779519
300,2.4981818
301,2.5605636
302,2.5247426
303,2.4760125
304,1.9555179
305,2.001244
306,2.9148211
307,2.828498
308,2.9077227
309,2.7956605
310,2.710402
311,2.710402
312,2.4312522
313,2.2933266
314,2.3806262
315,2.3806262
316,2.1138785
317,1.7471162
318,2.8125768
319,2.8125768
320,2.3279116
321,1.9577374
322,2.1122139
323,2.3657637
324,2.4702268
325,1.7260906
326,2.8321555
327,2.8321555
