"","PC1","PC2","PC3","PC4","PC5"
"plumbing",-0.235156136793613,0.134481968164851,0.174955427248941,-0.0820947534115525,-0.103588844927712
"stove",-0.247705196008599,0.149197819444071,0.102724780605599,0.0931174255652789,-0.122834998177623
"electricity",-0.1850970631065,0.304025251196971,0.273599234922936,-0.122640661747317,-0.0654367557169813
"tv",-0.224555203651965,0.0751675564838018,-0.0826354792652229,0.169859204592618,0.384323397754171
"fridge",-0.253121511249678,0.100816026494452,0.0581176548668928,0.074793841873684,-0.179161050592751
"washing_machine",-0.256460063127086,0.0370736207561518,0.020745660670982,0.0472571384125863,-0.144662652063923
"landline",-0.24053223576226,-0.108169320168258,-0.109811059136415,0.16033684504837,-0.142288170652778
"dvd_bluray",-0.216194065721915,-0.152211958011185,-0.215183998191894,0.124614103302455,0.357321780368502
"microwave",-0.244395980049973,-0.112375929647815,-0.132341301661631,0.10174468711794,-0.0705092216577361
"cable_tv",-0.227086885992417,-0.079443145377993,-0.143258758052769,0.0217379651764776,0.0659434110182256
"internet",-0.246214812076193,-0.14877523465595,-0.135005068565455,0.088385122531402,-0.0598613936915848
"cellphone",-0.185088030552811,-0.233136129034438,-0.36139752775992,0.140556914525411,0.145989416709566
"computer",-0.236000638751113,-0.179192879268272,-0.138629357990768,0.0474471232141039,-0.0518078393472671
"other_housing",-0.00951091512932704,-0.37266997794343,0.333861813869328,-0.23367428589758,0.209562898750966
"other_land",0.139369413735583,-0.35116745553571,0.107028089982036,-0.174413957811459,0.221370328367227
"automobile",-0.156034821888746,-0.276242713284823,-0.0419026840726767,-0.204491732906832,-0.616414738044993
"bank_account",-0.191790975219999,-0.176178045875434,0.0952522355646108,-0.464169463237059,0.140798489472265
"credit_card",-0.187908193102645,-0.258301770794793,0.0799941074737487,-0.35740945541693,-0.00842561004282977
"premises",0.0889106173605378,-0.349533888766065,0.314785671681892,0.381033538122847,-0.0652843490385791
"working_parcels",0.0677727834323865,-0.296041710929959,0.392202833836597,0.480228915578936,-0.103153398852364
"working_machinery",0.230965797326194,-0.148865936294604,-0.272242689187376,-0.053329669597018,-0.220253613301678
"working_animals",0.236123556132886,-0.127766466159734,-0.301011638423303,-0.0180071728713031,-0.107846735608507
"livestock",0.25454705406258,-0.0553127743998439,-0.226072294022349,-0.0444814040298383,-0.128507928981601
