"","PC1","PC2","PC3","PC4","PC5"
"plumbing",-0.238915987583836,0.089552422584361,0.0419531974583766,0.0355167208495327,0.0565278367120298
"stove",-0.240052772231122,0.100519027966006,0.0646185315985039,-0.038769361910542,-0.105826543396339
"electricity",-0.237215926961039,0.144013522252647,0.0820276293056054,0.0430026330148307,-0.0577289142709049
"tv",-0.239935123336766,0.0996795769018891,0.0405812746814306,-0.0170633317839024,-0.130498392463276
"fridge",-0.242162770860296,0.0614773024252052,0.0579477443203677,-0.0255114902573577,-0.152381330832906
"washing_machine",-0.24277428151423,0.00860633485784525,-0.0467296258062069,-0.0328904061828974,-0.128686014102306
"landline",-0.241711689685562,-0.0516509658178296,-0.0336534532322263,-0.00623911939558318,-0.0565408885170423
"dvd_vcr",-0.240006270274216,0.00158868851221325,-0.0549287555780247,0.102943495154963,-0.14751178355381
"microwave",-0.238454336517616,-0.0252646046769344,-0.147598693084157,0.0781563578583324,-0.129753635730407
"cable_tv",-0.229510738276993,-0.0528949069703198,-0.252015710733689,0.102090840070771,-0.245964448814703
"other_housing",-0.0492261525047336,-0.668845025354105,-0.069848272503316,0.627580095116588,-0.148473385390589
"bank_account",-0.202530624372304,-0.300057507622273,-0.36117320598767,-0.308596544345855,0.503482209870268
"credit_card",-0.220162444957726,-0.212070797513734,-0.350645212516432,-0.215067207374328,0.3226220246993
"other_land",0.219805382991396,-0.238585423612125,-0.139955202871642,-0.0414192465977977,-0.144674073551099
"automobile",-0.215451321463357,-0.22144652574236,0.0707743638138367,-0.509221638555102,-0.478110096072982
"premises",-0.135498534918877,-0.424930129262196,0.768034348990891,-0.148620581466621,0.237867452824815
"working_parcels",0.24124674180094,-0.0925461429654935,-0.065566668416747,-0.0600436120315643,-0.096343535579569
"working_machinery",0.21853318780517,-0.238453218731337,-0.0762746165021937,-0.345094087924946,-0.341003686958849
"working_animals",0.242418940148044,-0.0614071378650344,-0.0813599723523344,-0.0912007658569422,-0.0863507125918724
"livestock",0.242028117932926,-0.0561728234663255,-0.0348421614093353,-0.129343322621721,-0.0665217825569433
