"","Mean"
"I","1 (1)"
"ginc_1_2","0.28 (0.45)"
"ginc_3","0.23 (0.42)"
"ginc_4","0.19 (0.39)"
"ginc_5","0.11 (0.31)"
"ginc_6","0.04 (0.2)"
"ginc_7","0.01 (0.1)"
"bin_telefono","0.38 (0.49)"
"bin_celular","0.85 (0.36)"
"bin_tvpaga","0.52 (0.5)"
"bin_conex_inte","0.43 (0.49)"
"bin_agua","0.92 (0.27)"
"bin_electricidad","0.79 (0.41)"
"bin_sex","0.61 (0.49)"
"coche","0.57 (0.77)"
"propiedad","0.61 (0.49)"
"piso_tierra","0.03 (0.16)"
"piso_cemento","0.56 (0.5)"
"piso_otro","0.41 (0.49)"
"share_h","0.49 (0.23)"
"share_ocup","0.45 (0.28)"
"inst_IMSS","0.55 (0.5)"
"inst_IMSS Prospera","0.02 (0.13)"
"inst_ISSSTE","0.08 (0.27)"
"inst_Otro","0.35 (0.48)"
"inst_PEMEX","0.01 (0.09)"
"hablaind","0.13 (0.33)"
"prospera","0.12 (0.33)"
"adultom","0.06 (0.24)"
"tam_grande","0.09 (0.28)"
"tam_med","0.18 (0.38)"
"tam_medpeq","0.2 (0.4)"
"tam_peq","0.53 (0.5)"
"no_edu","0.04 (0.19)"
"kinder","0 (0.04)"
"primaria","0.25 (0.43)"
"secundaria","0.3 (0.46)"
"preparatoria","0.2 (0.4)"
"licenciatura","0.15 (0.35)"
"postgrado","0.01 (0.11)"
"ent_01","0.03 (0.18)"
"ent_02","0.03 (0.16)"
"ent_03","0.03 (0.17)"
"ent_04","0.03 (0.17)"
"ent_05","0.03 (0.17)"
"ent_06","0.04 (0.19)"
"ent_07","0.03 (0.17)"
"ent_08","0.03 (0.17)"
"ent_09","0.18 (0.38)"
"ent_10","0.03 (0.16)"
"ent_11","0.02 (0.15)"
"ent_12","0.02 (0.15)"
"ent_13","0.02 (0.12)"
"ent_14","0.04 (0.19)"
"ent_15","0.02 (0.15)"
"ent_16","0.03 (0.18)"
"ent_17","0.02 (0.14)"
"ent_18","0.02 (0.15)"
"ent_19","0.03 (0.18)"
"ent_20","0.02 (0.14)"
"ent_21","0.01 (0.12)"
"ent_22","0.02 (0.14)"
"ent_23","0.03 (0.18)"
"ent_24","0.03 (0.17)"
"ent_25","0.03 (0.16)"
"ent_26","0.03 (0.17)"
"ent_27","0.03 (0.17)"
"ent_28","0.03 (0.17)"
"ent_29","0.01 (0.11)"
"ent_30","0.02 (0.14)"
"ent_31","0.03 (0.17)"
"ent_32","0.03 (0.16)"
"folio","NA (NA)"
