"","Mean"
"I","1 (1)"
"y_Mean","2.02 (0.79)"
"ginc_1_2_Mean","0 (0.03)"
"ginc_3_Mean","0.01 (0.09)"
"ginc_4_Mean","0.02 (0.13)"
"ginc_5_Mean","0.07 (0.25)"
"ginc_6_Mean","0.26 (0.44)"
"ginc_7_Mean","0.65 (0.48)"
"bin_telefono_Mean","0.29 (0.46)"
"bin_celular_Mean","0.86 (0.35)"
"bin_tvpaga_Mean","0.5 (0.5)"
"bin_conex_inte_Mean","0.31 (0.46)"
"bin_agua_Mean","0.71 (0.45)"
"bin_electricidad_Mean","0.98 (0.12)"
"bin_sex_Mean","0.75 (0.43)"
"coche_Mean","0.47 (0.5)"
"propiedad_Mean","0.72 (0.45)"
"piso_tierra_Mean","0.03 (0.17)"
"piso_cemento_Mean","0.55 (0.5)"
"piso_otro_Mean","0.42 (0.49)"
"share_h_Mean","0.5 (0.23)"
"share_ocup_Mean","0.51 (0.28)"
"inst_IMSS_Mean","0.39 (0.49)"
"inst_IMSS Prospera_Mean","0.01 (0.08)"
"inst_ISSSTE_Mean","0.01 (0.11)"
"inst_Otro_Mean","0.59 (0.49)"
"inst_PEMEX_Mean","0.01 (0.09)"
"hablaind_Mean","0.08 (0.27)"
"prospera_Mean","0.21 (0.41)"
"adultom_Mean","0.08 (0.27)"
"tam_grande_Mean","0.38 (0.49)"
"tam_med_Mean","0.13 (0.34)"
"tam_medpeq_Mean","0.13 (0.34)"
"tam_peq_Mean","0.36 (0.48)"
"no_edu_Mean","0.06 (0.24)"
"kinder_Mean","0.17 (0.37)"
"primaria_Mean","0.22 (0.41)"
"secundaria_Mean","0.31 (0.46)"
"preparatoria_Mean","0.14 (0.34)"
"licenciatura_Mean","0.09 (0.29)"
"postgrado_Mean","0.02 (0.13)"
"ent_1_Mean","0.03 (0.18)"
"ent_2_Mean","0.05 (0.22)"
"ent_3_Mean","0.03 (0.18)"
"ent_4_Mean","0.03 (0.16)"
"ent_5_Mean","0.05 (0.21)"
"ent_6_Mean","0.04 (0.19)"
"ent_7_Mean","0.03 (0.16)"
"ent_8_Mean","0.04 (0.2)"
"ent_9_Mean","0.02 (0.16)"
"ent_10_Mean","0.03 (0.17)"
"ent_11_Mean","0.03 (0.18)"
"ent_12_Mean","0.02 (0.15)"
"ent_13_Mean","0.03 (0.16)"
"ent_14_Mean","0.03 (0.17)"
"ent_15_Mean","0.04 (0.2)"
"ent_16_Mean","0.03 (0.16)"
"ent_17_Mean","0.03 (0.17)"
"ent_18_Mean","0.03 (0.16)"
"ent_19_Mean","0.04 (0.2)"
"ent_20_Mean","0.03 (0.16)"
"ent_21_Mean","0.03 (0.17)"
"ent_22_Mean","0.03 (0.17)"
"ent_23_Mean","0.03 (0.16)"
"ent_24_Mean","0.02 (0.15)"
"ent_25_Mean","0.04 (0.2)"
"ent_26_Mean","0.03 (0.18)"
"ent_27_Mean","0.03 (0.16)"
"ent_28_Mean","0.03 (0.16)"
"ent_29_Mean","0.02 (0.15)"
"ent_30_Mean","0.03 (0.16)"
"ent_31_Mean","0.03 (0.18)"
"ent_32_Mean","0.03 (0.16)"
"folio_Mean","NA (NA)"
