"","X1","sd","gini","lower","upper","p"
"1",1,0.0053111927517247,0.46487118107879,0.45446124328541,0.475281118872171,"FWD"
"2",2,0.00348617298536169,0.471365616353773,0.464532717302465,0.478198515405082,"FWD"
"3",3,0.00323928535534633,0.471902027828219,0.46555302853174,0.478251027124698,"FWD"
"4",4,0.00307716852380205,0.473575340659299,0.467544090352647,0.479606590965951,"FWD"
"5",5,0.00246958882814218,0.473222476108967,0.468382082005809,0.478062870212126,"FWD"
"6",6,0.00246635303611609,0.473410460717987,0.468576408767199,0.478244512668774,"FWD"
"7",7,0.00191166179122651,0.472971267961293,0.469224410850489,0.476718125072097,"FWD"
"8",8,0.00156743926397067,0.47317360961255,0.470101428655167,0.476245790569932,"FWD"
"9",9,0.000987420697697865,0.472983535465646,0.471048190898158,0.474918880033134,"FWD"
"10",10,NA,NA,NA,NA,"FWD"
"11",1,0.00455915196605643,0.460802703279376,0.451866765425905,0.469738641132846,"BWD"
"12",2,0.0035950494773072,0.467550237389842,0.46050394041432,0.474596534365364,"BWD"
"13",3,0.00370453647611257,0.468772736020219,0.461511844527038,0.4760336275134,"BWD"
"14",4,0.0031560449412821,0.469199784294742,0.463013936209829,0.475385632379655,"BWD"
"15",5,0.00261171003659201,0.469776777344687,0.464657825672966,0.474895729016407,"BWD"
"16",6,0.00249468001080732,0.469216914567051,0.464327341745868,0.474106487388233,"BWD"
"17",7,0.00203529789874864,0.469436293072067,0.46544710919052,0.473425476953615,"BWD"
"18",8,0.00150385789668913,0.469357277164672,0.466409715687162,0.472304838642183,"BWD"
"19",9,0.000858249925724793,0.468828115283468,0.467145945429047,0.470510285137889,"BWD"
"20",10,NA,NA,NA,NA,"BWD"
